AHRF_VARIABLE_DESC,County,State/Territory,MEASURE_CT,纬度(生成),经度(生成),Metric Variable Disp No Decimal,Metric Variable Disp,Sequential 6 step Color Palette New
"MD, All",Washington,Florida,10,30.6112,-85.672,,40.71,1
"MD, All",Walton,Florida,97,30.6327,-86.1524,,141.86,1
"MD, All",Wakulla,Florida,11,30.1363,-84.3717,,34.25,1
"MD, All",Volusia,Florida,935,29.0205,-81.1398,,173.57,1
"MD, All",Union,Florida,9,30.0316,-82.3844,,58.00,1
"MD, All",Taylor,Florida,9,29.9856,-83.5757,,41.22,1
"MD, All",Suwannee,Florida,13,30.163,-83.0132,,29.42,1
"MD, All",Sumter,Florida,107,28.633,-82.1055,,85.49,1
"MD, All",St. Lucie,Florida,329,27.3823,-80.4869,,104.94,1
"MD, All",St. Johns,Florida,726,29.9382,-81.4423,,297.77,2
"MD, All",Seminole,Florida,862,28.7457,-81.2396,,186.31,2
"MD, All",Sarasota,Florida,"1,174",27.1675,-82.2674,,280.11,2
"MD, All",Santa Rosa,Florida,304,30.6713,-87.0296,,174.44,1
"MD, All",Putnam,Florida,66,29.6056,-81.8327,,89.84,1
"MD, All",Polk,Florida,832,28.0031,-81.7384,,121.20,1
"MD, All",Pinellas,Florida,"2,503",27.9341,-82.7715,,257.87,2
"MD, All",Pasco,Florida,702,28.3248,-82.3938,,133.55,1
"MD, All",Palm Beach,Florida,"3,938",26.6457,-80.4653,,267.68,2
"MD, All",Osceola,Florida,412,27.9963,-81.1262,,116.99,1
"MD, All",Orange,Florida,"3,891",28.5666,-81.2951,,288.44,2
"MD, All",Okeechobee,Florida,41,27.3016,-80.8409,,98.55,1
"MD, All",Okaloosa,Florida,435,30.6992,-86.5921,,214.32,2
"MD, All",Nassau,Florida,78,30.5521,-81.8734,,94.29,1
"MD, All",Monroe,Florida,145,25.4621,-81.0211,,188.28,2
"MD, All",Miami-Dade,Florida,"8,248",25.5592,-80.5906,,299.73,2
"MD, All",Martin,Florida,379,27.0829,-80.4238,,236.99,2
"MD, All",Marion,Florida,603,29.2407,-82.0227,,170.17,1
"MD, All",Manatee,Florida,670,27.4274,-82.3328,,173.77,1
"MD, All",Madison,Florida,3,30.4557,-83.4724,,16.26,1
"MD, All",Liberty,Florida,0,30.2933,-84.8882,,0.00,0
"MD, All",Levy,Florida,10,29.2967,-82.749,,24.78,1
"MD, All",Leon,Florida,793,30.4796,-84.2219,,273.17,2
"MD, All",Lee,Florida,"1,325",26.5436,-81.7444,,179.24,2
"MD, All",Lake,Florida,592,28.8116,-81.6866,,171.09,1
"MD, All",Lafayette,Florida,1,30.0414,-83.1969,,11.83,1
"MD, All",Jefferson,Florida,7,30.3778,-83.9384,,49.49,1
"MD, All",Jackson,Florida,38,30.7828,-85.1769,,78.63,1
"MD, All",Indian River,Florida,355,27.7062,-80.637,,229.95,2
"MD, All",Holmes,Florida,10,30.8497,-85.8166,,51.13,1
"MD, All",Hillsborough,Florida,"4,477",27.9097,-82.2405,,317.84,2
"MD, All",Highlands,Florida,160,27.3401,-81.3049,,155.52,1
"MD, All",Hernando,Florida,248,28.5644,-82.4065,,132.94,1
"MD, All",Hendry,Florida,14,26.6046,-81.2253,,34.70,1
"MD, All",Hardee,Florida,4,27.4929,-81.8094,,14.59,1
"MD, All",Hamilton,Florida,2,30.476,-82.9714,,14.10,1
"MD, All",Gulf,Florida,16,29.9344,-85.2103,,99.01,1
"MD, All",Glades,Florida,2,26.9796,-81.2237,,14.54,1
"MD, All",Gilchrist,Florida,6,29.749,-82.7979,,33.82,1
"MD, All",Gadsden,Florida,15,30.5501,-84.6353,,32.56,1
"MD, All",Franklin,Florida,6,29.8538,-84.8366,,51.16,1
"MD, All",Flagler,Florida,129,29.4662,-81.3097,,116.73,1
"MD, All",Escambia,Florida,785,30.6538,-87.3304,,250.39,2
"MD, All",Duval,Florida,"3,045",30.3866,-81.7798,,324.65,2
"MD, All",Dixie,Florida,2,29.5671,-83.1715,,12.00,1
"MD, All",DeSoto,Florida,18,27.1854,-81.8097,,48.83,1
"MD, All",Columbia,Florida,83,30.2096,-82.6264,,119.23,1
"MD, All",Collier,Florida,876,26.1608,-81.3445,,234.93,2
"MD, All",Clay,Florida,308,29.9562,-81.8292,,145.13,1
"MD, All",Citrus,Florida,201,28.8593,-82.4374,,138.00,1
"MD, All",Charlotte,Florida,304,26.9023,-81.8292,,167.00,1
"MD, All",Calhoun,Florida,7,30.4039,-85.2086,,48.33,1
"MD, All",Broward,Florida,"4,498",26.1511,-80.4895,,232.35,2
"MD, All",Brevard,Florida,"1,239",28.3079,-80.7834,,210.30,2
"MD, All",Bradford,Florida,17,29.9315,-82.2143,,62.87,1
"MD, All",Bay,Florida,347,30.2988,-85.5727,,189.04,2
"MD, All",Baker,Florida,17,30.3606,-82.3149,,60.11,1
"MD, All",Alachua,Florida,"2,225",29.6809,-82.3552,,833.51,5
