,County,Population,land area(sq mi),population_density,GDP,income,FPLi,cases,death,lethality,perin,logG,Logperin,Logl,population,pergdp,TPositive,TNegative,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,T_total,T_negative,T_positive,Deaths,Clinician_Count_MD,Clinician_Count_DO,Nurse_practitioner_Count,Available beds,Bed Census,Total Staffed Bed Capacity,Est Available Ventilators,County ICU Beds,County Staffed Beds,Hospitalized,ICU Cases,Latest COVID-19 Cases,Percent Remaining Vent Capacity,Ventilator Capacity
0,Alachua,263148,875.02,300.73369751548535,12447381,11983398,97.45,551,10,0.018148820326678767,44390,7.095077983006112,4.647285145025367,-1.741151598851785,267306,46.566036677066734,2322,14768,1174,1105,5,2284,19,55,762,549,255,255,201,143,51,30,53142,50804,2322,12,2225,74,600,267.0,1397.0,1664.0,110.0,387,"2,263",13.0,4.0,716.0,0.990692263,430
1,Baker,27785,585.23,47.477060301078204,595832,916242,96.45,30,4,0.13333333333333333,32313,5.775123823904576,4.509377280610115,-0.8750612633917001,28249,21.09214485468512,187,869,85,98,4,187,2,6,30,29,31,27,30,13,15,4,3250,3063,187,4,17,2,17,95.0,530.0,625.0,3.0,4,81,1.0,1.0,41.0,0.75,4
2,Bay,182482,758.46,240.59541702924346,7606775,8010201,95.83,153,4,0.026143790849673203,43231,6.881200570494064,4.635795281553983,-1.5826314394896364,167283,45.472492721914364,1523,3009,797,679,4,1480,20,31,271,324,261,250,189,110,50,16,13366,11818,1523,8,347,27,164,109.0,414.0,523.0,49.0,77,676,4.0,1.0,190.0,0.986710963,75
3,Bradford,26979,293.96,91.77779289699279,659865,930593,95.83,52,2,0.038461538461538464,33557,5.819455093493233,4.525783127911044,-1.414973347970818,28682,23.006240847918555,161,1421,98,63,0,161,2,8,22,19,27,27,14,11,19,12,3290,3126,161,2,17,1,18,0.0,0.0,0.0,3.0,4,25,2.0,1.0,61.0,0.75,4
4,Brevard,576808,1015.66,567.9144595632397,23437467,27112075,98.36,565,15,0.02654867256637168,45425,7.369910673584733,4.6572949359800715,-1.5759571887637573,594469,39.42588595872955,3723,18871,1905,1783,16,3704,42,92,763,758,549,529,463,276,146,102,62957,59193,3722,40,1239,118,421,410.0,1153.0,1563.0,125.0,288,"1,867",15.0,5.0,850.0,0.983606557,305
5,Broward,1909151,1209.78,1578.0976706508623,96874849,98087689,102.04,9086,358,0.03940127668941228,50269,7.986211038574828,4.701300245904392,-1.404489705834733,1919644,50.46500757432107,34153,89594,17208,16390,165,33763,664,1458,4968,7013,6036,5531,4497,2237,1168,564,290146,255720,34153,464,4498,678,1357,1707.0,4172.0,5879.0,293.0,790,"5,791",191.0,56.0,11155.0,0.935222672,864
6,Calhoun,14444,567.33,25.459609045881585,250104,391997,91.43,66,5,0.07575757575757576,26873,5.398120637608295,4.429316152131662,-1.1205739312058498,14067,17.779483898485818,184,495,119,65,0,184,1,5,21,21,18,23,28,20,25,22,1376,1186,184,7,7,1,10,3.0,7.0,10.0,2.0,3,15,2.0,1.0,69.0,0.636363636,3
7,Charlotte,176954,680.28,260.1193626153937,4670656,7689186,98.71,537,73,0.13594040968342644,41564,6.669377882101892,4.618717336150165,-0.8666514255790997,181770,25.695417285580678,1281,4940,678,575,22,1275,12,18,126,147,122,175,232,185,135,128,17781,16490,1281,80,304,59,116,227.0,507.0,734.0,51.0,51,595,11.0,3.0,587.0,0.93442623,46
8,Citrus,143087,581.7,245.98074608904932,3511018,5609441,92.98,150,12,0.08,37920,6.545433055976498,4.5788683286660286,-1.0969100130080565,147744,23.764200238249945,665,4023,332,329,3,664,7,18,89,94,79,100,133,79,47,19,13230,12557,665,17,201,32,86,97.0,217.0,314.0,30.0,40,332,4.0,1.0,189.0,0.972222222,36
9,Clay,207291,604.36,342.9925871996823,4508532,9271351,98.38,440,32,0.07272727272727272,42909,6.654035156493939,4.6325483933594604,-1.1383026981662814,215246,20.94595021510272,1641,7886,888,743,5,1636,14,48,230,286,267,278,224,159,86,48,23516,21863,1641,42,308,41,158,46.0,447.0,493.0,55.0,42,459,9.0,3.0,494.0,0.904761905,32
