COUNTY,Est Available Ventilators,County ICU Beds,County Staffed Beds,Days to Bed Capacity Failure,Days to ICU Capacity Failure,Days to Ventilator Capacity Failure,Hospitalized,ICU Cases,Latest COVID-19 Cases,Percent Remaining Vent Capacity,Ventilator Capacity
Alachua,110.0,387,"2,263",0.0,0.0,0.0,13.0,4.0,716.0,0.990692263,430
Baker,3.0,4,81,0.0,0.0,0.0,1.0,1.0,41.0,0.75,4
Bay,49.0,77,676,0.0,0.0,0.0,4.0,1.0,190.0,0.9867109629999999,75
Bradford,3.0,4,25,0.0,0.0,0.0,2.0,1.0,61.0,0.75,4
Brevard,125.0,288,"1,867",0.0,0.0,0.0,15.0,5.0,850.0,0.983606557,305
Broward,293.0,790,"5,791",0.0,0.0,0.0,191.0,56.0,11155.0,0.935222672,864
Calhoun,2.0,3,15,0.0,0.0,0.0,2.0,1.0,69.0,0.636363636,3
Charlotte,51.0,51,595,0.0,0.0,0.0,11.0,3.0,587.0,0.93442623,46
Citrus,30.0,40,332,0.0,0.0,0.0,4.0,1.0,189.0,0.9722222220000001,36
Clay,55.0,42,459,0.0,0.0,0.0,9.0,3.0,494.0,0.904761905,32
Collier,61.0,145,"1,134",0.0,0.0,0.0,55.0,16.0,3159.0,0.895595432,153
Columbia,19.0,28,456,0.0,0.0,0.0,4.0,2.0,227.0,0.9259259259999999,27
DeSoto,5.0,8,49,0.0,0.0,0.0,8.0,3.0,450.0,0.625,8
Dixie,,,,0.0,0.0,0.0,2.0,1.0,61.0,0.0,0
Duval,223.0,554,"3,647",0.0,0.0,0.0,50.0,15.0,2902.0,0.97451147,588
Escambia,93.0,159,"1,384",0.0,0.0,0.0,21.0,6.0,1198.0,0.960720131,153
Flagler,9.0,18,99,0.0,0.0,0.0,4.0,2.0,226.0,0.897435897,20
Franklin,2.0,4,25,0.0,0.0,0.0,1.0,1.0,2.0,0.75,4
Gadsden,0.0,4,24,0.0,57.0,0.0,6.0,2.0,321.0,0.6,5
Gilchrist,,,,0.0,0.0,0.0,2.0,1.0,75.0,0.0,0
Glades,,,,0.0,0.0,0.0,3.0,1.0,142.0,0.0,0
Gulf,2.0,3,19,0.0,0.0,0.0,1.0,1.0,11.0,0.636363636,3
Hamilton,,,,0.0,0.0,0.0,5.0,2.0,289.0,0.0,0
Hardee,4.0,4,25,0.0,66.0,70.0,5.0,2.0,289.0,0.5,4
Hendry,4.0,3,25,42.0,0.0,0.0,13.0,4.0,759.0,0.0,3
Hernando,37.0,66,670,0.0,0.0,0.0,4.0,1.0,185.0,0.985185185,68
Highlands,25.0,44,292,0.0,0.0,0.0,4.0,2.0,226.0,0.957446809,47
Hillsborough,254.0,637,"4,069",0.0,0.0,0.0,96.0,28.0,5580.0,0.9588990829999999,681
Holmes,4.0,3,20,0.0,0.0,0.0,1.0,1.0,47.0,0.636363636,3
Indian River,33.0,43,511,0.0,0.0,0.0,7.0,2.0,389.0,0.9520958079999999,42
Jackson,9.0,7,66,0.0,0.0,0.0,6.0,2.0,333.0,0.6521739129999999,6
Jefferson,,,,0.0,0.0,0.0,1.0,1.0,36.0,0.0,0
Lafayette,,,,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0
Lake,77.0,185,"1,060",0.0,0.0,0.0,13.0,4.0,733.0,0.979617834,196
Lee,169.0,253,"1,698",0.0,0.0,0.0,63.0,19.0,3626.0,0.914510686,222
Leon,84.0,61,822,0.0,0.0,0.0,10.0,3.0,572.0,0.923566879,39
Levy,,,,0.0,0.0,0.0,3.0,1.0,139.0,0.0,0
Liberty,,,,0.0,0.0,0.0,4.0,2.0,221.0,0.0,0
