County,population_density,FPLi,logG,Logperin,population,pergdp,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,T_total,Clinician_Count_DO,Nurse_practitioner_Count,Bed Census,Total Staffed Bed Capacity,Hospitalized,ICU Cases,Percent Remaining Vent Capacity,Ventilator Capacity,C_plus_65,C_plus_65_ratio,lethality
Alachua,-0.11053230248017361,97.45,7.095077983006113,4.647285145025367,12.4961493485642,46.56603667706675,23,76,824,614,304,290,234,159,62,31,10.952769531182296,74,600,1397.0,1664.0,13.0,4.0,0.990692263,430,252,0.09621993127147767,0.01814882032667877
Baker,-0.5721409584386781,96.45,5.775123823904576,4.509377280610115,10.248813337717966,21.09214485468512,3,8,35,38,41,35,35,16,17,4,8.192016914536875,2,17,530.0,625.0,1.0,1.0,0.75,4,37,0.15948275862068967,0.13333333333333333
Bay,-0.22014581994707316,95.83,6.881200570494063,4.635795281553984,12.027442267944572,45.47249272191437,28,38,346,418,351,342,259,139,59,20,9.816130661317876,27,164,414.0,523.0,4.0,1.0,0.986710963,75,218,0.109,0.026143790849673203
Bradford,-0.49139440088937036,95.83,5.819455093493232,4.525783127911044,10.264025027289158,23.006240847918555,4,8,31,24,30,31,18,11,21,12,8.153061946801051,1,18,0.0,0.0,2.0,1.0,0.75,4,44,0.23157894736842105,0.038461538461538464
Brevard,0.37645573393768056,98.36,7.369910673584733,4.657294935980072,13.295423849094016,39.42588595872955,45,100,826,835,628,595,551,323,183,136,11.121555551234609,118,421,1153.0,1563.0,15.0,5.0,0.983606557,305,642,0.15206063477025106,0.02654867256637168
Broward,2.2177078309053355,102.04,7.986211038574827,4.701300245904392,14.467650310145503,50.46500757432107,790,1760,5697,7949,6959,6394,5197,2569,1317,634,12.661384502282894,678,1357,4172.0,5879.0,191.0,56.0,0.935222672,864,4520,0.1150683536569843,0.03940127668941228
Calhoun,-0.6122719741282643,91.43,5.398120637608295,4.429316152131662,9.551586907757695,17.779483898485815,1,6,29,24,21,28,34,29,27,23,7.496652438168283,1,10,7.0,10.0,2.0,1.0,0.636363636,3,79,0.35585585585585583,0.07575757575757576
Charlotte,-0.18455969521542445,98.71,6.669377882101892,4.618717336150165,12.110497430607145,25.695417285580678,14,24,147,162,140,205,251,210,144,133,9.853404052368141,59,116,507.0,734.0,11.0,3.0,0.93442623,46,487,0.3403214535290007,0.13594040968342644
Citrus,-0.2103300278062075,92.98,6.545433055976497,4.5788683286660286,11.903236325306715,23.764200238249945,8,22,105,115,92,115,154,102,60,23,9.55867059537935,32,86,217.0,314.0,4.0,1.0,0.972222222,36,185,0.23241206030150754,0.08
Clay,-0.033507394134311745,98.38,6.654035156493938,4.6325483933594604,12.279536839074337,20.94595021510272,19,74,332,345,322,349,281,193,108,59,10.189605903011726,41,158,447.0,493.0,9.0,3.0,0.904761905,32,360,0.1728276524243879,0.07272727272727272
Collier,-0.32673943111219433,106.47,7.197564452545563,4.967014139949054,12.839220321347288,41.837132936560614,213,409,1408,1318,1342,1213,925,510,332,144,10.827111331777076,98,226,715.0,850.0,55.0,16.0,0.895595432,153,986,0.12616762635956494,0.023148148148148147
Columbia,-0.5007509320202767,93.08,6.3259183688799725,4.5449852976427225,11.16325450718426,30.04543778017364,25,38,124,243,242,219,178,111,43,22,9.13216259091216,10,78,129.0,144.0,4.0,2.0,0.925925926,27,176,0.14136546184738955,0.01092896174863388
DeSoto,-0.5545358657154144,97.26,5.918286746586357,4.373095987078727,10.493078144937773,22.972105919866905,36,101,145,213,199,160,126,61,15,11,8.961622569542543,2,13,0.0,0.0,8.0,3.0,0.625,8,87,0.08153701968134958,0.025839793281653745
Dixie,-0.6161841418448027,92.54,5.438961410793098,4.4464750318017865,9.71776020260734,16.542143287176398,0,11,19,23,28,21,22,29,21,5,7.5688956634069955,2,4,0.0,0.0,2.0,1.0,0.0,0,55,0.30726256983240224,0.05
