County,population_density,FPLi,logG,Logperin,population,pergdp,Clinician_Count_DO,Nurse_practitioner_Count,Bed Census,Total Staffed Bed Capacity,Percent Remaining Vent Capacity,Ventilator Capacity,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_RaceWhite,C_RaceBlack,C_HispanicYES,C_HispanicNO,T_total,T_negative,T_positive,Deaths,C_65_plus,C_65_plus_rate,C_RBlack_rate,C_RWhite_rate,C_HispanicYes_rate,C_HispanicNo_rate,Lethality
Alachua,-0.1105323024801736,97.45,7.095077983006113,4.647285145025367,12.4961493485642,46.56603667706675,74,600,1397.0,1664.0,0.990692263,430,44,106,911,738,377,356,299,194,80,36,1055,813,420,1753,62766,59602,3144,20,310,9.860050890585242,25.858778625954198,33.5559796437659,13.358778625954198,55.75699745547074,0.6361323155216284
Baker,-0.5721409584386781,96.45,5.775123823904576,4.509377280610115,10.248813337717968,21.09214485468512,2,17,530.0,625.0,0.75,4,4,8,47,51,57,44,44,21,20,4,198,54,9,258,3979,3678,300,4,45,15.0,18.0,66.0,3.0,86.0,1.3333333333333335
Bay,-0.2201458199470732,95.83,6.881200570494063,4.635795281553984,12.027442267944572,45.47249272191437,27,164,414.0,523.0,0.9867109629999999,75,40,53,465,630,536,505,372,230,102,39,1627,302,279,1603,20976,17974,2972,15,371,12.483176312247645,10.161507402422611,54.7442799461642,9.387617765814268,53.93674293405114,0.5047106325706594
Bradford,-0.4913944008893704,95.83,5.819455093493232,4.525783127911044,10.264025027289158,23.006240847918555,1,18,0.0,0.0,0.75,4,6,10,38,29,37,37,25,14,24,13,154,67,6,222,3800,3564,233,3,51,21.888412017167383,28.75536480686695,66.09442060085837,2.575107296137339,95.27896995708154,1.2875536480686696
Brevard,0.37645573393768056,98.36,7.369910673584733,4.657294935980072,13.295423849094016,39.42588595872955,118,421,1153.0,1563.0,0.983606557,305,51,125,947,909,716,714,677,403,241,182,2587,477,673,2629,74706,69682,4966,64,826,16.63310511478051,9.605316149818767,52.09424083769634,13.55215465163109,52.93999194522755,1.288763592428514
Broward,2.2177078309053355,102.04,7.986211038574827,4.701300245904392,14.467650310145507,50.46500757432107,678,1357,4172.0,5879.0,0.935222672,864,1046,2444,7197,9822,8682,8058,6470,3195,1606,807,17067,12741,15947,18379,363584,313754,49350,605,5608,11.363728470111448,25.81762917933131,34.58358662613982,32.314083080040525,37.24214792299899,1.2259371833839918
Calhoun,-0.6122719741282643,91.43,5.398120637608295,4.429316152131662,9.551586907757695,17.779483898485815,1,10,7.0,10.0,0.636363636,3,2,6,30,31,25,34,37,32,33,24,196,18,14,211,2049,1790,254,7,89,35.039370078740156,7.086614173228346,77.16535433070865,5.511811023622047,83.07086614173228,2.7559055118110236
Charlotte,-0.18455969521542445,98.71,6.669377882101892,4.618717336150165,12.110497430607145,25.695417285580678,59,116,507.0,734.0,0.93442623,46,17,29,184,195,167,229,298,247,172,144,1167,89,117,1161,21050,19355,1683,82,563,33.45216874628639,5.28817587641117,69.34046345811052,6.951871657754011,68.98395721925134,4.87225193107546
Citrus,-0.2103300278062075,92.98,6.545433055976497,4.5788683286660286,11.903236325306716,23.764200238249945,32,86,217.0,314.0,0.9722222220000001,36,12,30,160,143,123,165,198,130,87,35,832,74,58,859,15866,14773,1083,20,252,23.26869806094183,6.832871652816251,76.82363804247461,5.355493998153278,79.31671283471837,1.8467220683287167
Clay,-0.033507394134311745,98.38,6.654035156493938,4.6325483933594604,12.279536839074336,20.94595021510272,41,158,447.0,493.0,0.904761905,32,22,89,410,400,398,423,345,238,133,80,1189,422,236,1496,30149,27595,2538,47,451,17.7698975571316,16.627265563435774,46.84791174152876,9.29866036249015,58.94405043341213,1.8518518518518516
Collier,-0.32673943111219433,106.47,7.197564452545563,4.967014139949054,12.839220321347288,41.837132936560614,98,226,715.0,850.0,0.895595432,153,235,462,1539,1474,1498,1387,1053,598,380,168,4109,494,3445,1938,55567,46711,8795,117,1146,13.030130756111427,5.616827743035816,46.7197271176805,39.16998294485503,22.035247299602045,1.3303013075611143
Columbia,-0.5007509320202767,93.08,6.3259183688799725,4.5449852976427225,11.16325450718426,30.04543778017364,10,78,129.0,144.0,0.9259259259999999,27,38,61,207,389,444,389,319,172,73,29,686,348,91,850,11386,9218,2122,10,274,12.91234684260132,16.39962299717248,32.32799245994345,4.288407163053723,40.056550424128176,0.47125353440150797
DeSoto,-0.5545358657154144,97.26,5.918286746586357,4.3730959870787265,10.493078144937774,22.972105919866905,2,13,0.0,0.0,0.625,8,39,108,159,234,221,176,137,69,19,10,738,118,621,275,8787,7601,1172,14,98,8.361774744027302,10.06825938566553,62.96928327645052,52.986348122866886,23.464163822525595,1.1945392491467577
Dixie,-0.6161841418448027,92.54,5.438961410793098,4.4464750318017865,9.717760202607339,16.542143287176398,2,4,0.0,0.0,0.0,0,0,13,27,35,32,27,32,33,24,6,166,19,2,173,2253,2020,230,4,63,27.391304347826086,8.26086956521739,72.17391304347827,0.8695652173913043,75.21739130434783,1.7391304347826086
Duval,1.5515122224621392,100.68,7.771192777003418,4.6643974986074666,13.785743894121005,60.83034433876737,192,1121,2613.0,3892.0,0.97451147,588,263,771,3321,4689,3306,2883,2260,1286,612,353,4678,6237,1579,9189,184617,164655,19753,139,2251,11.395737356350933,31.57495064040905,23.682478610843923,7.993722472535818,46.5195160228826,0.7036905786462816
