OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1036,28,34,121,137,142,149,151,117,95,62,0,0 to 118,49,586,443,7,1036,0,0,46,737,2,314,8,308,725,0,3,1033,276,32,0,0,150,158,0,308,10,13,43,46,41,43,41,21,26,24,0,0 to 100,45,235,18,22,33,43,220,45,20,0,6,0,0,0,308,158,150,308,0,0,2972,0,3286,2972,308,0,451,434,,148547.347587998,920490830.171041
2,2,54,107,PUTNAM,Putnam,FL,4302,94,188,494,648,557,649,683,478,327,172,12,0 to 118,47,2588,1654,60,4294,8,0,197,3728,133,828,22,1169,3130,1,2,4291,674,495,0,0,601,543,25,1169,24,95,219,196,171,158,135,81,60,29,1,0 to 100,37,543,314,139,173,216,744,209,218,0,131,0,0,13,1169,543,601,1169,0,0,9664,8,10851,9672,1169,13,258,189,,232574.926295813,2142439482.03275
3,3,62,123,TAYLOR,Taylor,FL,1224,39,47,136,192,170,168,194,159,86,28,5,0 to 118,46,697,504,23,1215,9,0,42,811,3,471,29,266,953,0,5,1210,227,36,3,0,148,115,0,263,0,12,45,59,45,38,33,13,15,5,1,5 to 91,38,133,90,25,15,29,206,28,46,0,13,0,0,3,266,115,151,263,3,0,2430,6,2704,2436,266,3,624,524,,267348.178428562,2685252567.64829
4,4,46,091,OKALOOSA,Okaloosa,FL,9076,212,240,955,1463,1324,1189,1285,963,792,610,43,0 to 119,47,5333,3650,93,8919,156,1,372,7295,137,1133,107,2368,6677,0,31,8889,2204,139,20,5,1252,1052,39,2343,29,81,432,501,369,307,276,185,109,76,3,0 to 103,38,1165,200,273,705,333,1169,841,190,3,108,1,0,20,2368,1064,1265,2342,25,1,21243,131,23770,21374,2368,20,2176,1745,,330553.159869224,2369222669.77759
5,5,7,013,CALHOUN,Calhoun,FL,792,11,19,81,87,117,112,132,109,82,42,0,0 to 99,52,466,312,14,792,0,0,27,479,4,218,9,254,538,0,0,792,238,16,0,0,150,104,0,254,2,6,30,31,25,34,37,32,33,24,0,1 to 99,54,196,18,17,23,14,211,29,37,0,25,0,0,7,254,104,150,254,0,0,1790,0,2049,1790,254,7,440,378,,192207.890040853,1487626834.63177
6,6,50,099,PALM BEACH,Palm Beach,FL,91223,1456,2476,8400,12493,11876,13117,14600,12238,8378,4562,1627,0 to 119,51,49426,41453,344,90300,921,2,5860,74624,465,18891,549,30325,60518,169,211,89925,29778,265,276,6,15327,14602,114,30043,496,1132,4442,5746,4993,4621,3832,2284,1544,1206,29,0 to 106,41,11041,4633,4630,9739,8365,10923,10755,3352,42,2447,27,15,755,30325,14746,15460,30041,282,2,207104,635,238576,207739,30325,755,8261,7996,,464192.45985372,5710098601.43288
7,7,56,111,ST. LUCIE,St. Lucie,FL,14371,244,403,1224,1930,1951,2241,2352,2009,1281,698,38,0 to 119,51,8289,5808,274,14220,151,0,935,11070,188,3089,104,4401,9743,5,222,13993,4271,110,20,0,2379,1950,52,4381,80,186,593,781,722,707,566,393,219,148,6,0 to 104,42,1349,847,512,1673,818,1547,2016,380,2,283,2,1,97,4401,1961,2388,4381,20,0,31933,130,36510,32063,4401,97,2793,2778,,252832.323358595,1499679486.77785
8,8,51,101,PASCO,Pasco,FL,19324,363,517,1905,2617,2739,3072,3154,2640,1593,694,30,0 to 119,49,10936,8299,89,19231,93,0,1144,15166,223,4068,193,5803,13462,2,57,19172,5652,123,27,1,2973,2763,39,5775,89,173,904,1049,929,917,739,529,306,166,2,0 to 105,42,3350,373,680,1372,1041,2948,1786,648,9,420,4,1,69,5803,2777,2987,5775,28,0,52128,65,58034,52193,5803,69,3790,3238,,225211.500690868,1975344275.1952
9,9,20,039,GADSDEN,Gadsden,FL,3823,83,173,368,646,646,642,560,437,172,92,4,0 to 119,44,2496,1309,18,3802,20,1,104,3177,46,697,26,1188,2633,1,1,3801,1129,52,7,0,679,493,9,1181,30,77,169,219,218,195,132,80,45,21,2,0 to 98,39,307,395,86,393,198,528,455,180,0,97,0,0,13,1188,493,686,1180,7,1,8619,13,9855,8632,1188,13,712,517,,205127.330965142,1367889846.53107
10,10,37,073,LEON,Leon,FL,16250,250,466,2733,2760,2306,2334,2419,1852,721,365,44,0 to 119,43,8474,7630,146,15980,269,1,659,13973,201,1943,132,3760,12460,2,28,15951,3644,48,65,3,1950,1714,28,3692,48,153,1360,744,456,405,344,156,54,28,12,0 to 105,28,1055,1115,256,1266,252,1658,1782,260,14,99,11,7,13,3760,1748,1984,3691,68,1,46037,200,50098,46237,3760,13,1695,1279,,246081.909782739,1817477697.83523
11,11,33,065,JEFFERSON,Jefferson,FL,739,19,17,50,74,103,109,141,134,70,21,1,0 to 101,54,416,319,4,732,7,0,25,560,41,201,13,174,564,0,1,731,128,42,4,0,78,92,0,170,4,3,23,26,27,30,27,18,8,8,0,0 to 95,47,76,76,11,7,12,146,12,27,2,21,0,0,5,174,95,79,170,4,0,1897,3,2076,1900,174,5,175,137,,228391.565626802,1581350101.41822
12,12,40,079,MADISON,Madison,FL,1587,78,86,175,198,208,232,220,209,118,57,6,0 to 99,47,983,598,6,1559,28,0,68,995,53,680,40,526,1059,0,2,1557,323,194,9,0,302,214,1,517,29,38,74,78,74,91,70,39,14,19,0,0 to 98,40,126,350,29,12,31,445,41,95,0,24,0,1,6,526,216,309,517,9,0,3969,19,4529,3988,526,6,685,585,,219176.198593348,1853116752.58642
13,13,39,077,LIBERTY,Liberty,FL,2363,6,14,199,712,577,422,285,101,32,7,8,0 to 105,38,247,2109,7,2363,0,0,7,2014,1,174,6,335,2028,0,0,2363,331,4,0,0,48,286,1,335,2,5,48,78,65,74,50,10,2,1,0,0 to 85,40,202,108,10,15,16,222,97,13,0,5,0,0,2,335,286,48,335,0,0,2601,0,2937,2601,335,2,239,214,,308797.501666624,2183538741.05164
14,14,24,047,HAMILTON,Hamilton,FL,2234,33,53,214,576,443,349,259,182,78,44,3,0 to 118,40,589,1627,18,2226,8,0,64,1905,9,547,12,557,1676,0,1,2225,492,60,4,1,200,352,0,552,22,36,84,128,94,86,64,28,12,3,0,0 to 90,35,235,273,36,8,89,310,153,77,1,18,0,0,2,557,355,202,552,5,0,3234,3,3796,3237,557,2,47,45,,232510.620544678,1344926537.75858
